id,titlu,pret,moneda,nr_camere,suprafata,link,imagini_paths,numar_imagini,observatii,descriere,data_cont,nr_postari,pret_estim,data_cont_parsed,vechime_zile,scam,delta_pret
11,Anunț,7500,EUR,3,80,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/casa-de-vacanta/anunt/vand-cabane-tip-a/13he13f5did07ig6285304d567i787hg.html,images_case/anunt_11_img_0.webp|images_case/anunt_11_img_1.webp|images_case/anunt_11_img_2.webp|images_case/anunt_11_img_3.webp,4,,"Case si Cabane din lemn, de tip A, dimensiuni in functie de preferintele clientilor cu proiectul clientului sau dupa proiectele noastre. Construim case si cabane din lemn, tip A, folosind materiale de buna calitate, arhitectura deosebita, cu o echipa de exceptie cu experienta in acest domeniu. AVANS 0%       , plata se va face esalonat pe parcursul lucrarii. Acest tip de locuinta reprezinta un mediu de locuit sanatos si va ofera o ambianta originala, placuta si relaxanta. Oferim garantie si calitate la cele mai accesibile preturi, avand o vasta experienta in prelucrarea lemnului de peste 10 ani. Oferta noastra pentru case, cabane din lemn, se adreseaza atat celor care vor sa aiba o casa de vacanta sau o locuinta permanenta cat si celor care au in plan amenjarea exterioara a acestora. Ne deplasăm în toată tara fără costuri suplimentare. Experiență de peste 10 ani. Garanție și Calitate la cele mai Accesibile Prețuri! Modul de constructie ne permite sa amplasam constructiile din lemn atat in mediu urban, cat si in cel rural, transportul facandu-se pana la locatia clientului, oriunde in țară. Pentru orice nelămurire nu ezitați să ne contactați la numarul de telefon: ID anunț : 1759572607",04.10.2025,6,149569.8125,2025-04-10,241.0,0,-142069.8125
12,Anunț,5500,EUR,3,60,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/casa-de-vacanta/anunt/vand-cabane-tip-a/911151gd3dii72eg1027i0gfdgd39d19.html,images_case/anunt_12_img_0.webp|images_case/anunt_12_img_1.webp|images_case/anunt_12_img_2.webp|images_case/anunt_12_img_3.webp,4,,"Cabanele A-Frame   refugiul perfect în mijlocul naturii! Design spectaculos, construcție durabilă și acel aer cozy care te face să te îndrăgostești de fiecare colț! Cu un stil minimalist și eficient, cabanele A-frame sunt alegerea ideală pentru: Căsuțe de vacanță Glamping sau afaceri în turism Locuințe de weekend sau chiar permanente Construcție rapidă și sustenabilă Rezistență excelentă la intemperii Posibilități multiple de compartimentare Fiecare proiect este realizat cu atenție la detalii, din lemn de calitate, și poate fi personalizat în funcție de nevoile tale! Contactează-ne și hai să construim împreună cabana visurilor tale! Vezi în imagini câteva dintre proiectele noastre recente. ACEPTAM VARIANTE AUTO ID anunț : 1759572579",04.10.2025,6,156794.328125,2025-04-10,241.0,0,-151294.328125
13,Anunț,6500,EUR,3,80,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/casa-de-vacanta/anunt/vand-cabane-tip-a/009788ddd2i073i61gegeghhf4431e18.html,images_case/anunt_13_img_0.webp|images_case/anunt_13_img_1.webp|images_case/anunt_13_img_2.webp|images_case/anunt_13_img_3.webp,4,,"Cabanele A-Frame   refugiul perfect în mijlocul naturii! Design spectaculos, construcție durabilă și acel aer cozy care te face să te îndrăgostești de fiecare colț! Cu un stil minimalist și eficient, cabanele A-frame sunt alegerea ideală pentru: Căsuțe de vacanță Glamping sau afaceri în turism Locuințe de weekend sau chiar permanente Construcție rapidă și sustenabilă Rezistență excelentă la intemperii Posibilități multiple de compartimentare Fiecare proiect este realizat cu atenție la detalii, din lemn de calitate, și poate fi personalizat în funcție de nevoile tale! Contactează-ne și hai să construim împreună cabana visurilor tale! Vezi în imagini câteva dintre proiectele noastre recente. ACEPTAM VARIANTE AUTO ID anunț : 1759572217",04.10.2025,6,136339.953125,2025-04-10,241.0,0,-129839.953125
14,Anunț,308000,EUR,3,276,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/case-vile/anunt/casa-de-vanzare-bucuresti-noi/g7f26d1g3e8f78f9d0636h74gee917hf.html,images_case/anunt_14_img_0.webp|images_case/anunt_14_img_1.webp|images_case/anunt_14_img_2.webp|images_case/anunt_14_img_3.webp,4,,"De vânzare casa 3 camere,2 bai,teren 276mp , utili 90mp,  Utilități. apa , canal, gaze, electricitate,cadastru intabulare, Proprietar , comision 0%. mai mult detalii la telefon , preț 308000 euro negociabil  tel    + 4patru.7.cinci .0 zero.234 doi doi 1 ID anunț : 1753452084",21.08.2020,1,193634.21875,2020-08-21,1934.0,0,114365.78125
15,Anunț,89950,EUR,3,60,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/casa-de-vacanta/anunt/vand-casa-la-munte-in-campulung-moldovenesc/ig70eg1d944272hf271047gh22700405.html,images_case/anunt_15_img_0.jpg|images_case/anunt_15_img_1.jpg|images_case/anunt_15_img_2.webp|images_case/anunt_15_img_3.webp,4,,"Vând casă cu suprafață de 65m2 cu utilități: energie electrică, gaze naturale, apă, canalizare, internet și TV. Finalizarea construcției - 2023. Zona liniștită la 10 minute de mers pe jos până în centrul orașului Câmpulung Moldovenesc. Casa are 3 camere: salon intrare, living și dormitor matrimonial, baie cu duș și bucătărie utilată complet și un dressing spațios la mansardă. Design-ul interior este unul modern cu influențe rustice, cu șemineu pe lemne, centrală pe gaz, beci, și 2 terase aferente intrării și bucătăriei. Locuința este mobilată total, cu mobilier din lemn masiv. Pentru vizionare și alte detalii, vă punem la dispoziție pe WhatsApp foto și video. ID anunț : 1731154098",09.11.2024,4,159505.84375,2024-09-11,452.0,0,-69555.84375
16,Anunț,59500,EUR,7,2267,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/case-vile/anunt/proprietar-vand-casa-cu-7-camere-in-diculesti-jud-valcea-teren-2267-mp/9fdh538d855h789id9g2h391e9d31327.html,images_case/anunt_16_img_0.webp|images_case/anunt_16_img_1.webp|images_case/anunt_16_img_2.webp|images_case/anunt_16_img_3.webp,4,,"Se propune spre vânzare o proprietate spațioasă, decomandată, ideală pentru familii sau pensiune, bine construită și mobilată, situată în Diculești, la aproximativ 51 km de Craiova, 31 km de Balș, cu un regim de înălțime P, având un număr de 7 camere, cu o suprafață utilă de 218 mp la sol și teren 2267 mp, front stradal mare de 25 m. Anul constructiei este 1975, fundație de piatră, material zidărie cărămidă, acoperiș de tablă zincată. Proprietatea dispune de garaj (32 mp) cu groapă, accesat de la stradă pe o placă de beton armat, un  pătul (15 mp ) din lemn, acoperit cu tablă, fixat pe piloni de beton armat, 2 beciuri generoase, 2 poduri spațioase, cu posibilitate de mansardare. Imobilul este dotat cu: sistem de alarmă, podele lemn natur, uși de lemn la camere și intrare 2 poduri spațioase mansardabile, 2 beciuri generoase, ferestre tâmplărie lemn, protejate de ornamente metalice antiefracție, spații de depozitare, acoperiș tablă zincată, ogeac și cuptor zidit pentru pâine și afumătoare, cotețe zidite pentru porc și găini împrejmuirea terenului din spatele casei este cu fundație, elevație și gard din sârmă metalică. poartă acces auto, curent trifazic CATV stradă asfaltată, iluminat stradal. Confortul termic se realizează cu ajutorul sobelor de teracotă Necesită renovări: geamuri termopan, renovare plafon, aducerea apei în casă și amenajarea băii bucatariei. Se vinde mobilată după cum este prezentată în imagini. Proprietatea dispune de  teren pentru grădină, poziționat în spatele casei, partial în pantă, ideal pentru plantarea viței-de-vie și a pomilor fructiferi, dar și pentru o grădină generoasă de legume și zarzavaturi. Dacă îți dorești o casă bine compartimentată, această locuință îti poate oferi tot confortul și calitatea unui cămin bine structurat. Ideală pentru: - locuință permanentă pentru familie, - casă de vacanță, - conversie în pensiune rurală, - investiție pe termen lung. ID anunț : 1756894603",03.09.2025,1,161532.546875,2025-03-09,273.0,0,-102032.546875
17,Anunț,36999,EUR,4,3662,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/case-vile/anunt/vand-casa-la-tara/d8545eh95h037f8fe1260d963d635i92.html,images_case/anunt_17_img_0.jpg|images_case/anunt_17_img_1.jpg|images_case/anunt_17_img_2.jpg|images_case/anunt_17_img_3.jpg,4,,"Vând casa la Țara, Mai exact în Bălaia la 22 de Km De Oradea! Suprafața terenului este de 3662mp Pentru mai multe detali sunați la zero zero trei patru șase patru doi, doi, doi, patru opt unu șapte ID anunț : 1697981574",22.10.2023,1,172057.53125,2023-10-22,777.0,0,-135058.53125
18,Anunț,199500,EUR,6,500,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/case-vile/anunt/casa-de-vanzare-direct-proprietar/35889eig622g7913e44200di5fdifd98.html,images_case/anunt_18_img_0.webp|images_case/anunt_18_img_1.webp|images_case/anunt_18_img_2.webp|images_case/anunt_18_img_3.webp,4,,"Casa P+E+ pod, direct de la proprietar. Suprafata teren 500 mp. Suprafata utila 220 mp. Anul construcției 2008 din caramida. La parter: living generos, o camera birou, baie cu dus , bucatarie, camera tehnica cu centrala proprie termica pe gaz, care are si usa exterioara , debara. La etaj: 4 dormitoare, baie cu cada si bideu, biblioteca. Fiecare dormitor are balcon, iar unul are si teracota pe lângă calorifer. Exista un garaj construit din caramida, cu pod, dar si alte 4 locuri de parcare in curte, pe aleea de langa casa. Terasa de aproximativ 15 mp in spatele casei langa bucataria complet mobilata si utilata, inclusiv masina spalat vase. Ferestre cu geam termopan, usa intrare PVC, usi intetioare din lemn, podele: gresie si parchet. Strada este asfaltata, iluminat stradal, paza, mijloc de transport in comun, apa curenta, gaz-calorifere , curent, canalizare, internet. ID anunț : 1762536444",07.04.2009,1,143648.25,2009-07-04,6000.0,0,55851.75
19,Anunț,165000,EUR,4,373,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/case-vile/anunt/casa-la-cheie-oras-pantelimon/648h994336217330d5h83h3he0g8gfhg.html,images_case/anunt_19_img_0.webp|images_case/anunt_19_img_1.webp|images_case/anunt_19_img_2.webp|images_case/anunt_19_img_3.webp,4,,"Casa de vanzare Oras Pantelimon Intr.prutului nr 31 Teren 373 mp Construcție 97 mp Casa este alcătuită din: 2 dormitoare 1 living 2 bai 1 hol 1 bucătărie 1 terasa Placa de beton între Parter si pod Casa se afla in construcție dar se preda la cheie Aveți posibilitatea de a va alege finisajele Se accepta credit bancar Toată documentația pregătită pentru banca,  notar ID anunț : 1762261213",21.03.2018,2,170031.625,2018-03-21,2818.0,0,-5031.625
20,Anunț,34000,EUR,4,30,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/case-vile/anunt/casa-de-vanzare/31df197f869i7h06e46eid7328fde4e4.html,images_case/anunt_20_img_0.webp|images_case/anunt_20_img_1.webp|images_case/anunt_20_img_2.webp|images_case/anunt_20_img_3.webp,4,,Vând casă si teren in satul Valioara comuna Răchitova la 17km de orașul Hațeg in stare buna cu toate utilitățile plus anexe M-ai multe detalii la telefon ID anunț : 1755827805,01.10.2012,2,130941.890625,2012-01-10,5080.0,0,-96941.890625
